商品ID,品牌,商品名称,商品类别,商品来源,商品URL,商品单价,商品销量,商品月销量,商品评论量,商品参数,卖家名称,卖家所在地,店铺类型,采集日期,采集城市,类目树
3880007,Pigeon/贝亲,Pigeon/贝亲婴儿爽身粉140g,儿童洗护品,一号店,http://item.yhd.com/item/4018291,28.8,0,NULL,2467,规格参数 产地.：中国大陆 是否进口：国产 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>爽身/防痱>Pigeon/贝亲
978476,Sebamed/施巴,Sebamed/施巴婴儿洁肤浴露400ml,儿童洗护品,一号店,http://item.yhd.com/item/1020915,109,0,NULL,354,规格参数 产地：德国 类别：沐浴露 容量：301-499ml 母婴包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>洗发沐浴>沐浴露>Sebamed/施巴
1186000,宝宝金水,宝宝金水金银花防蚊液145ml,儿童洗护品,一号店,http://item.yhd.com/item/1369831,17.9,0,NULL,2175,规格参数 产地.：中国大陆 是否进口：国产 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>驱蚊防虫>宝宝金水
3880025,Pigeon/贝亲,Pigeon/贝亲婴儿洗发精500ml,儿童洗护品,一号店,http://item.yhd.com/item/4018307,49,0,NULL,2443,规格参数 产地：中国大陆 容量：500ml 母婴包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>洗发沐浴>宝宝洗发/护发>Pigeon/贝亲
9980,Johnson/强生,JohnsonsBaby/强生婴儿保湿润肤露200ml,儿童洗护品,一号店,http://item.yhd.com/item/73777,34.4,0,NULL,1670,规格参数 产地：中国大陆 婴儿润肤乳/按摩油类别：润肤露 功效：保湿防燥 容量：200ml 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>婴儿护肤>润肤乳 >Johnson/强生
3880036,Pigeon/贝亲,Pigeon/贝亲婴儿沐浴露500ml,儿童洗护品,一号店,http://item.yhd.com/item/4018316,49.5,0,NULL,2362,规格参数 产地：中国大陆 类别：沐浴露 母婴包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>洗发沐浴>沐浴露>Pigeon/贝亲
7829118,孩儿面,孩儿面水漾优泡防晒乳120ml（SPF30+PA+++）,儿童洗护品,一号店,http://item.yhd.com/item/8976745,39,0,NULL,200,规格参数 产地：中国大陆 防晒指数：SPF30 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>婴儿护肤>宝宝防晒乳/露>孩儿面
9997,Johnson/强生,JohnsonsBaby/强生婴儿天然舒润滋养润肤霜40g,儿童洗护品,一号店,http://item.yhd.com/item/73794,43,0,NULL,2780,规格参数 产地：中国大陆 婴儿润肤乳/按摩油类别：其它润肤品 功效：保湿防燥 容量：40g 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>婴儿护肤>润肤乳 >Johnson/强生
7505426,B&B/保宁,B&B保宁婴幼儿牙刷第一阶段（2-4岁）颜色随机,儿童洗护品,一号店,http://item.yhd.com/item/8638804,22,0,NULL,1126,规格参数 产地：韩国 母婴包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>宝宝牙膏/牙刷>乳牙刷>B&B/保宁
3779452,Johnson/强生,JohnsonsBaby/强生婴儿玉米爽身粉140g,儿童洗护品,一号店,http://item.yhd.com/item/3922791,22.9,0,NULL,3330,规格参数 产地.：中国大陆 是否进口：国产 包装：单个装,NULL,NULL,自营,2015-05-07 10:52:20,NULL,母婴用品、玩具>洗护清洁>驱蚊/防痱>爽身/防痱>Johnson/强生
